usec,velocity,heading
9058140,-0.250000,0.510744
9068141,-0.250000,0.477538
9078141,-0.250000,0.445913
9088145,-0.250000,0.411125
9098149,-0.250000,0.379500
9108155,-0.250000,0.344713
9118211,-0.250000,0.308344
9128211,-0.250000,0.273556
9138212,-0.250000,0.238769
9148237,-0.250000,0.203981
9158237,-0.250000,0.167613
9168238,-0.250000,0.129663
9178245,-0.250000,0.094875
9188245,-0.250000,0.058506
9198245,-0.250000,0.020556
9208296,-0.250000,-0.014231
9218296,-0.250000,-0.052181
9228296,-0.250000,-0.088550
9238310,-0.250000,-0.126500
9248311,-0.250000,-0.162869
9258311,-0.250000,-0.199238
9268352,-0.250000,-0.237188
9278354,-0.250000,-0.275138
9288355,-0.250000,-0.313088
9298366,-0.250000,-0.351038
9308367,-0.250000,-0.388988
9318394,-0.250000,-0.428519
9328398,-0.250000,-0.466469
9338399,-0.250000,-0.506001
9348399,-0.250000,-0.543951
9358444,-0.250000,-0.581901
9368451,-0.250000,-0.623013
